.Name,.Symbol,AverageDailyVolume,BookValue,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,FiftydayMovingAverage,MarketCapitalization,OneyrTargetChange,PEGRatio,PERatio,PercentChangeAfterHours,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearHigh,PercentChangeFromYearLow,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,ShortRatio,StockExchange,TwoHundreddayMovingAverage,Volume
"Agilent Technologies, Inc. Comm",A,2073730,13.345,1.050,942000000.0,2.130,0.540,2.380,1.400,48.409,16390000000.0,0.024215420379697816,2.360,32.646,0.0011623401782254739,0.05135,0.09232,-0.01823,0.39553,3.868,23.894,21.384,3.919,2.380,1,46.594,459311
"American Airlines Group, Inc.",AAL,6508310,7.36,0.86,7500000000.0,4.62,1.55,5.35,4.81,46.66,24460000000.0,0.14282709297433738,4.62,9.88,0,0.0189,0.1367,-0.061200000000000004,0.9131,6.46,10.29,8.89,0.61,3.57,0,41.82,0
Advance Auto Parts Inc Advance,AAP,899998,38.78,0.15,1160000000.0,7.25,2.52,7.83,6.10,167.53,11900000000.0,0.08933365877471333,2.24,26.49,0.0020136685379545938,-0.0351,0.0128,-0.091,0.2155,4.23,22.30,20.64,1.27,5.71,1,159.60,212787
Apple Inc.,AAPL,30178300,25.191,1.730,69750000000.0,8.930,1.620,10.130,8.330,123.214,709940000000.0,0.03180577079182356,1.630,16.244,0.0012545199616265101,0.09820999999999999,0.18273,-0.00701,0.51241,5.379,15.153,13.358,3.260,1.670,0,114.409,2356022
AbbVie Inc.,ABBV,7195620,3.98,4.24,11110000000.0,5.48,1.38,6.43,3.63,61.58,100190000000.0,0.13187347931873483,0.77,16.98,0,0.0011,-0.0125,-0.095,0.1472,15.49,11.25,9.59,3.91,3.96,1,62.43,0
AmerisourceBergen Corporation,ABC,2342640,9.754,1.600,2160000000.0,5.830,1.410,6.420,5.987,85.798,19730000000.0,0.01001981942303476,1.680,15.169,-0.0018718343977096596,0.05848,0.09946999999999999,-0.03899,0.32809,9.311,15.577,14.146,0.133,5.750,1,82.599,1944692
Abbott Laboratories Common Stoc,ABT,9158260,14.111,2.480,5000000000.0,2.450,0.600,2.750,0.937,41.133,64730000000.00001,0.07340909090909076,1.590,46.921,0.0,0.06884,0.06866,-0.03986,0.196,3.118,17.945,15.987,3.107,1.260,1,41.140,1323541
Accenture plc Class A Ordinary,ACN,2340160,11.9470,2.0600,5660000000.0,5.8700,1.5300,6.4000,6.7580,116.0390,74870000000.0,0.08705077962144592,2.0500,17.7933,0.0,0.036265,0.032112,-0.043532,0.228015,10.0385,20.4850,18.7886,2.2367,3.3600,1,116.5060,90816
Adobe Systems Incorporated,ADBE,2501170,15.02,0.00,1820000000.0,3.82,0.91,4.80,2.32,111.18,58660000000.0,0.0542609287293756,0.98,51.18,-0.0021262119408063107,0.068,0.1209,-0.003,0.49329999999999996,7.83,31.08,24.74,9.92,2.13,0,105.93,1699561
"Analog Devices, Inc.",ADI,2660410,16.76,2.20,1250000000.0,3.39,0.76,3.76,2.76,74.41,25150000000.0,0.03314491264131547,2.37,29.57,0.03802672147995878,0.0967,0.20199999999999999,-0.0004,0.6286999999999999,4.64,24.07,21.70,7.01,5.48,0,67.88,7032662
