.Name,.Symbol,AverageDailyVolume,BookValue,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,FiftydayMovingAverage,MarketCapitalization,OneyrTargetChange,PEGRatio,PERatio,PercentChangeAfterHours,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearHigh,PercentChangeFromYearLow,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,ShortRatio,StockExchange,TwoHundreddayMovingAverage,Volume
"Agilent Technologies, Inc. Comm",A,1953510,13.35,1.02,942000000.0,2.15,0.53,2.40,1.56,49.89,16530000000.000002,0.07687804878048765,2.29,32.92,-0.003707317073170735,0.028900000000000002,0.094,-0.0178,0.3644,3.84,23.87,21.39,3.89,2.75,1,46.92,1174599
"American Airlines Group, Inc.",AAL,6504690,7.46,0.85,7830000000.0,4.62,1.55,5.45,4.81,46.38,22650000000.0,0.19774884131538295,4.50,9.34,-0.0064003531229308575,-0.031200000000000002,0.04650000000000001,-0.1128,0.8079999999999999,6.07,9.73,8.24,0.57,3.88,0,42.93,266763
Advance Auto Parts Inc Advance,AAP,1033480,39.66,0.15,1120000000.0,7.60,2.05,8.83,6.20,162.81,11210000000.0,0.15487844408427875,1.72,24.58,6.48298217178489e-05,-0.0638,-0.04019999999999999,-0.1429,0.1462,3.89,20.06,17.26,1.19,4.84,1,158.81,301094
Apple Inc.,AAPL,28790700,25.19,1.63,69750000000.0,8.94,1.62,10.15,8.33,130.21,732630000000.0,0.028060858332137117,1.69,16.76,-0.002009473230945913,0.0725,0.19210000000000002,-0.0046,0.5607,5.53,15.62,13.76,3.35,1.45,0,117.13,5073249
AbbVie Inc. Common Stock,ABBV,7123010,2.9110,4.0400,10950000000.0,5.4900,1.3800,6.4500,3.6300,61.4029,102000000000.0,0.0980330448465776,0.8100,17.6297,-0.006451612903225712,0.042226,0.03265,-0.060598,0.176175,21.8310,11.6568,9.9218,3.9509,4.4700,1,61.9723,5153157
AmerisourceBergen Corporation C,ABC,2163520,9.75,1.58,2160000000.0,5.87,1.41,6.47,5.99,88.88,19290000000.0,0.023780420046671802,1.67,14.83,-0.008445382820313263,-0.0009,0.0733,-0.0603,0.2986,9.23,15.13,13.72,0.13,6.94,1,82.74,762065
Abbott Laboratories Common Stoc,ABT,9267780,13.944,2.340,4590000000.0,2.450,0.600,2.750,0.937,43.004,77850000000.0,0.05849767338799028,1.640,48.084,-0.007090627077332212,0.04769,0.09614,-0.01702,0.22565000000000002,3.237,18.390,16.384,3.740,1.570,1,41.103,3392200
Accenture plc Class A Ordinary,ACN,2333260,11.95,1.96,5660000000.0,5.89,1.53,6.41,6.76,118.35,77070000000.0,0.05639402791301529,2.10,18.32,0.0031645569620253333,0.045899999999999996,0.054400000000000004,-0.0154,0.2212,10.32,21.02,19.31,2.30,3.23,1,117.39,1050004
Adobe Systems Incorporated,ADBE,2388850,15.02,0.00,1820000000.0,3.82,0.91,4.80,2.32,115.83,59310000000.0,0.03653766125676228,1.01,51.74,-0.0007490636704120535,0.0364,0.1134,-0.0054,0.44329999999999997,8.00,31.42,25.01,10.14,2.24,0,107.81,810252
"Analog Devices, Inc.",ADI,2468110,17.16,2.16,1370000000.0,3.72,0.92,3.92,2.93,77.99,25940000000.0,0.053786523553965404,3.36,28.61,-0.0017889087656528524,0.0756,0.2054,-0.0042,0.608,4.89,22.49,21.40,7.13,5.26,0,69.59,1442462
