.Name,.Symbol,AverageDailyVolume,BookValue,DaysRange,DaysVolume,DividendYield,EBITDA,EPS,EPSYearGrowthEstimate,MarketCapitalization,OneyrTargetChange,PEGRatio,PERatio,PercentChangeAfterHours,PercentChangeFromTwoHundreddayMovingAverage,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,Sector-Consumer Discretionary,Sector-Consumer Staples,Sector-Financials,Sector-Health Care,Sector-Industrials,Sector-Information Technology,Sector-Materials,Sector-Real Estate,Sector-Telecommunication Services,Sector-Utilities,ShortRatio
"Agilent Technologies, Inc. Comm",A,1851310,13.345,0.008862907788044482,734388,0.990,942000000,1.559,0.12558139534883717,17140000000,0.06675466716952672,2.330,34.121,0.006034320196115495,0.10125,3.974,24.742,21.891,4.030,0,0,0,1,0,0,0,0,0,0,2.340
"American Airlines Group, Inc.",AAL,7076880,7.46,0.020086738187628454,4693242,0.90,7830000000,4.81,0.1698513800424628,22540000000,0.2036064825382331,4.22,9.29,0.005934718100890191,0.0101,5.87,9.49,8.11,0.55,0,0,0,0,1,0,0,0,0,0,4.49
Advance Auto Parts Inc Advance,AAP,1098890,39.66,0.022993400042580436,1230051,0.17,1120000000,6.20,0.16005291005291,10470000000,0.2406500603221915,1.50,22.97,0.004399971613086473,-0.09630000000000001,3.55,18.84,16.24,1.08,1,0,0,0,0,0,0,0,0,0,3.53
Apple Inc.,AAPL,26178300,25.191,0.010906515580736489,13091688,1.610,69750000000,8.330,0.14413407821229063,737530000000,0.045396600566572465,1.700,16.876,0.004390934844192618,0.13256,5.605,15.707,13.728,3.396,0,0,0,0,0,1,0,0,0,0,2.330
AbbVie Inc. Common Stock,ABBV,6373710,2.91,0.005970149253731383,1958323,3.98,10950000000,3.63,0.17454545454545456,101420000000,0.11547525530243519,0.80,17.53,0.003927729772191579,0.0235,21.87,11.57,9.85,3.96,0,0,0,1,0,0,0,0,0,0,4.90
AmerisourceBergen Corporation C,ABC,1913690,9.75,0.01465600775193808,1118259,1.69,2160000000,5.99,0.10102739726027399,17820000000,0.12294089147286802,1.59,13.70,0.0009689922480620172,-0.0147,8.46,14.04,12.75,0.12,0,0,0,1,0,0,0,0,0,0,10.38
Abbott Laboratories Common Stoc,ABT,7711820,13.94,0.02026249136541567,10941255,2.45,4590000000,0.94,0.12244897959183665,75480000000,0.09808887865530735,1.55,46.62,0.008058945429426645,0.049800000000000004,3.11,17.83,15.88,3.60,0,0,0,1,0,0,0,0,0,0,1.65
Accenture plc Class A Ordinary,ACN,2422510,12.84,0.011699931176875426,1452848,2.09,5720000000,6.00,0.09199318568994896,72530000000,0.12422573984858931,2.08,19.49,0.0011183757742603273,-0.0159,9.05,19.93,18.25,2.14,0,0,0,0,0,1,0,0,0,0,4.22
Adobe Systems Incorporated,ADBE,2377540,15.33,0.008936137431630818,1228918,0.00,1980000000,2.62,0.26075949367088613,64400000000,0.1081580771897388,2.03,49.71,0.000693321007626535,0.1516,8.47,32.96,26.14,10.44,0,0,0,0,0,1,0,0,0,0,2.25
"Analog Devices, Inc.",ADI,3079440,17.1610,0.012401498514403928,1625645,2.3600,1370000000,2.9320,0.15749999999999997,23910000000,0.17865908797313002,1.8600,26.3745,0.003617103733367877,0.049596999999999995,4.5108,19.3325,16.7381,6.5822,0,0,0,0,0,1,0,0,0,0,2.6400
