.Name,.Symbol,AverageDailyVolume,BookValue,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,FiftydayMovingAverage,MarketCapitalization,OneyrTargetChange,PEGRatio,PERatio,PercentChangeAfterHours,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearHigh,PercentChangeFromYearLow,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,ShortRatio,StockExchange,TwoHundreddayMovingAverage,Volume
"Agilent Technologies, Inc. Comm",A,1943670,13.35,1.03,942000000.0,2.15,0.53,2.41,1.56,50.10,16559999999.999998,0.07508266874149006,2.28,32.99,0.00019451468585884868,0.0265,0.094,-0.0159,0.3527,3.85,23.92,21.34,3.90,2.75,1,47.01,1259407
"American Airlines Group, Inc.",AAL,6389830,7.46,0.89,7830000000.0,4.62,1.55,5.45,4.81,46.16,21840000000.0,0.20895522388059717,4.50,9.01,-0.006905769659166894,-0.061200000000000004,0.0074,-0.1444,0.7437,6.02,9.38,7.95,0.56,3.88,0,43.01,9330139
Advance Auto Parts Inc Advance,AAP,1048640,39.66,0.16,1120000000.0,7.60,2.05,8.83,6.20,161.99,11410000000.0,0.14773532633206599,1.70,25.02,-0.0015462921203531765,-0.042199999999999994,-0.0226,-0.1275,0.16670000000000001,3.91,20.41,17.57,1.19,4.84,1,158.74,1024584
Apple Inc.,AAPL,28246400,25.19,1.63,69750000000.0,8.94,1.62,10.15,8.33,131.55,727590000000.0,0.024892086330935204,1.68,16.65,-0.0018705035971222639,0.0542,0.17859999999999998,-0.011399999999999999,0.55,5.52,15.51,13.66,3.34,1.45,0,117.67,22155904
AbbVie Inc. Common Stock,ABBV,7027420,2.91,4.02,10950000000.0,5.49,1.38,6.47,3.63,61.61,102810000000.0,0.087932647333957,0.80,17.77,0.0,0.046799999999999994,0.0406,-0.053200000000000004,0.18539999999999998,22.03,11.75,9.97,3.99,4.47,1,61.98,6957213
AmerisourceBergen Corporation C,ABC,2109040,9.75,1.65,2160000000.0,5.87,1.41,6.47,5.99,89.05,19250000000.0,0.03423888639425243,1.67,14.80,0.0035922766052987054,-0.0049,0.0698,-0.0623,0.2958,9.13,15.10,13.70,0.13,6.94,1,82.82,1125654
Abbott Laboratories Common Stoc,ABT,9148320,13.94,2.36,4590000000.0,2.45,0.60,2.75,0.94,43.33,78850000000.0,0.053130511463844954,1.64,48.70,0.0,0.053099999999999994,0.10830000000000001,-0.0045000000000000005,0.2413,3.25,18.62,16.59,3.76,1.57,1,41.17,5691017
Accenture plc Class A Ordinary,ACN,2358490,11.95,1.95,5660000000.0,5.89,1.53,6.41,6.76,118.96,76700000000.0,0.04603888799614331,2.12,18.23,-0.0007231238952273289,0.0354,0.0478,-0.0202,0.1826,10.42,20.91,19.22,2.32,3.23,1,117.56,2338125
Adobe Systems Incorporated,ADBE,2393100,15.02,0.00,1820000000.0,3.82,0.91,4.80,2.32,116.28,59240000000.0,0.04130434782608705,1.01,51.69,0.001839464882943176,0.031200000000000002,0.1099,-0.006500000000000001,0.43450000000000005,7.96,31.39,24.98,10.09,2.24,0,108.04,1984225
"Analog Devices, Inc.",ADI,2474270,17.16,2.16,1370000000.0,3.74,0.92,3.93,2.93,78.76,25720000000.0,0.06133205558217525,3.33,28.37,-0.0011978917105894826,0.055999999999999994,0.1893,-0.0127,0.5942000000000001,4.86,22.24,21.16,7.10,5.26,0,69.93,2005287
Archer-Daniels-Midland Company,ADM,3381850,29.97,2.88,2540000000.0,2.86,0.68,3.08,2.16,44.58,25370000000.0,0.024778358717890248,1.20,20.56,0.0025005683109797783,-0.0034999999999999996,0.008100000000000001,-0.0723,0.2857,1.47,15.53,14.42,0.40,3.47,1,44.06,2822556
"Automatic Data Processing, Inc.",ADP,1952410,8.50,2.19,2730000000.0,3.68,0.70,4.04,3.72,100.87,46420000000.0,-0.03577282807829518,2.45,27.78,-0.001349918040690401,0.025099999999999997,0.08800000000000001,-0.0152,0.2257,12.20,28.10,25.59,3.86,2.69,0,95.04,1393832
Alliance Data Systems Corporati,ADS,552413,28.89,0.85,1460000000.0,18.49,3.78,21.09,7.34,234.07,13870000000.0,0.013079328973556903,1.12,33.78,0.000852999715666769,0.0592,0.11779999999999999,-0.0052,0.34,8.52,13.41,11.76,1.93,6.53,1,221.80,382580
Ameren Corporation Common Stock,AEE,1224790,29.28,3.25,2300000000.0,2.77,0.61,3.00,2.68,53.20,13130000000.0,-0.008869179600886845,3.39,20.19,0.002586844050258774,0.0172,0.066,-0.025,0.16920000000000002,1.85,19.54,18.04,2.24,6.96,1,50.77,1287968
American Electric Power Company,AEP,2326460,35.38,3.56,5290000000.0,3.65,0.89,3.88,1.24,64.37,31880000000.0,0.0372985418265539,9.77,52.16,0.0009209516500381376,0.0072,0.0255,-0.0909,0.1201,1.84,17.76,16.71,1.96,2.59,1,63.23,2532275
Aetna Inc. Common Stock,AET,3123800,50.84,1.53,6200000000.0,8.85,2.38,9.78,6.41,124.61,46710000000.0,0.04965454407410208,1.08,20.72,0.00030369751727277183,0.0658,0.1024,-0.027000000000000003,0.2698,2.59,15.01,13.58,0.73,1.29,1,120.48,3740729
