.Name,.Symbol,AverageDailyVolume,BookValue,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,FiftydayMovingAverage,MarketCapitalization,OneyrTargetChange,PEGRatio,PERatio,PercentChangeAfterHours,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearHigh,PercentChangeFromYearLow,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,ShortRatio,StockExchange,TwoHundreddayMovingAverage,Volume
"Agilent Technologies, Inc. Comm",A,2052110,13.35,1.02,942000000.0,2.15,0.53,2.40,1.56,48.74,16620000000.000002,0.06895215959713341,2.27,33.12,0,0.0594,0.1067,-0.0040999999999999995,0.4157,3.87,24.01,21.51,3.92,2.38,1,46.65,0
"American Airlines Group, Inc.",AAL,6436300,7.36,0.85,7500000000.0,4.64,1.55,5.35,4.81,46.63,24140000000.0,0.1554183521396637,4.64,9.75,-0.0029806259314456574,0.006,0.1185,-0.0737,0.8876999999999999,6.39,10.11,8.77,0.60,3.57,0,41.94,4583721
Advance Auto Parts Inc Advance,AAP,1059490,38.78,0.15,1160000000.0,7.25,2.52,7.83,6.10,168.12,11900000000.0,0.10888875085409033,2.20,26.48,-0.0023603950555934894,-0.038900000000000004,0.011399999999999999,-0.09140000000000001,0.2151,4.15,22.29,20.64,1.25,5.71,1,159.75,1561644
Apple Inc.,AAPL,29506000,25.19,1.68,69750000000.0,8.93,1.62,10.13,8.33,124.32,712060000000.0,0.03302548947173989,1.64,16.29,-0.0018470631695604034,0.0917,0.1825,-0.004,0.5169,5.37,15.20,13.40,3.26,1.67,0,114.77,22323411
AbbVie Inc.,ABBV,7235930,3.98,4.14,11110000000.0,5.49,1.38,6.44,3.63,61.53,100380000000.0,0.12967459932005831,0.78,17.02,0,0.0039000000000000003,-0.0098,-0.0933,0.1494,15.52,11.25,9.59,3.92,3.96,1,62.38,0
AmerisourceBergen Corporation C,ABC,2283790,9.75,1.61,2160000000.0,5.83,1.41,6.42,5.99,86.74,19600000000.0,0.010687527545174103,1.66,15.07,-0.0002203613926841097,0.04019999999999999,0.09300000000000001,-0.0453,0.3194,9.30,15.48,14.05,0.13,5.75,1,82.54,296635
Abbott Laboratories Common Stoc,ABT,9208690,14.11,2.37,5000000000.0,2.45,0.60,2.75,0.94,41.50,66310000000.0,0.0619825464309689,1.62,48.07,-0.0008950548221078325,0.08539999999999999,0.0943,-0.016399999999999998,0.22519999999999998,3.17,18.38,16.38,3.16,1.26,1,41.16,3172179
Accenture plc Class A Ordinary,ACN,2394950,11.95,2.00,5660000000.0,5.87,1.53,6.40,6.76,115.81,75480000000.0,0.07993704440026517,2.07,17.94,-0.0017395626242544537,0.046799999999999994,0.042,-0.035699999999999996,0.2697,10.10,20.65,18.94,2.25,3.36,1,116.35,1904933
Adobe Systems Incorporated,ADBE,2480730,15.02,0.00,1820000000.0,3.82,0.91,4.80,2.32,112.09,59130000000.0,0.042293786260825694,1.00,51.58,-0.0011771630370805974,0.0676,0.12710000000000002,-0.0004,0.5051,7.92,31.33,24.93,10.04,2.13,0,106.18,2143337
"Analog Devices, Inc.",ADI,2680730,17.16,2.18,1370000000.0,3.68,0.91,3.88,2.93,74.91,25500000000.0,0.06282786385262917,3.34,28.13,-0.0020739294863975077,0.10099999999999999,0.2108,-0.0011,0.6463,4.78,22.41,21.26,6.97,5.48,0,68.12,2933246
Archer-Daniels-Midland Company,ADM,3294510,29.47,2.86,2540000000.0,2.86,0.68,3.08,2.16,44.42,26290000000.0,-0.01208324009845596,1.18,20.88,-0.0031326918773775247,0.0151,0.0259,-0.0583,0.36310000000000003,1.52,15.77,14.64,0.42,3.78,1,43.95,414886
"Automatic Data Processing, Inc.",ADP,2060390,8.50,2.29,2730000000.0,3.66,0.70,4.04,3.72,100.85,44750000000.0,0.0012014417300760805,2.37,26.78,-0.0028033640368442247,-0.0116,0.0634,-0.0424,0.1997,11.75,27.23,24.67,3.72,3.36,0,93.74,1577550
Alliance Data Systems Corporati,ADS,585313,28.79,0.88,1570000000.0,18.49,3.77,21.08,7.34,230.26,13540000000.0,0.07787044639384644,1.07,32.02,-0.0009939069184563554,0.0208,0.0728,-0.0275,0.2703,8.04,12.71,11.15,1.87,5.39,1,219.08,714115
Ameren Corporation Common Stock,AEE,1260890,29.28,3.30,2300000000.0,2.77,0.61,3.01,2.68,52.41,12970000000.0,-0.010867528574105223,3.29,19.94,-0.0028105677346823565,0.019799999999999998,0.0594,-0.0116,0.18510000000000001,1.82,19.30,17.76,2.13,5.64,1,50.45,168161
American Electric Power Company,AEP,2346820,35.38,3.68,5440000000.0,3.65,0.89,3.88,1.24,63.26,31520000000.0,0.0489783185150523,11.79,51.62,0,0.013500000000000002,0.0115,-0.1011,0.1074,1.81,17.56,16.52,1.92,2.17,1,63.38,0
Aetna Inc.,AET,3161270,50.84,0.80,6200000000.0,8.79,2.32,9.76,6.41,122.00,44060000000.0,0.07776662290524361,1.04,19.54,-0.009112672793265997,0.0268,0.048799999999999996,-0.0823,0.22190000000000001,2.55,14.25,12.84,0.72,1.37,1,119.44,4214129
