.Name,.Symbol,AverageDailyVolume,BookValue,DaysRange,DaysVolume,DividendYield,EBITDA,EPS,EPSYearGrowthEstimate,MarketCapitalization,OneyrTargetChange,PEGRatio,PERatio,PercentChangeAfterHours,PercentChangeFromTwoHundreddayMovingAverage,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,Sector-Consumer Discretionary,Sector-Consumer Staples,Sector-Financials,Sector-Health Care,Sector-Industrials,Sector-Information Technology,Sector-Materials,Sector-Real Estate,Sector-Telecommunication Services,Sector-Utilities,ShortRatio
"Agilent Technologies, Inc. Comm",A,-0.3160564518060761,-0.5002471243777401,-0.7161330428230298,-0.1606994968240034,-0.6916809058713634,-0.4388249377129966,-0.6303702739571293,0.02276430354615076,-0.3592205328697621,-0.18112072528633194,0.044766926411947315,0.09521422363110325,0.3698781270144465,1,-0.174118153818409,0.044786390882913564,0.21534057055214173,0.26988871372014483,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.692508454270401
"American Airlines Group, Inc.",AAL,0.5031567891688885,-0.7095637227276047,0.9111519011986171,0.05599593268399009,-0.7586160861104414,0.6251548236254547,0.15708987522918202,0.14645145017254482,-0.2905555394350305,1.2536413740053522,0.08218695876893617,-0.5007888464429391,0.35372876125314107,1,-0.058543713441973184,-0.3835272084717921,-0.8975718014696177,-0.9617083083957081,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.23280704729726936
Advance Auto Parts Inc Advance,AAP,-0.43401342621736194,0.4357199589827845,1.332573724723384,-0.13356843650295577,-1.3015347702718503,-0.41132952576203197,0.49377692763428,0.11907523121291538,-0.44403451550118056,1.6420083188163768,0.02833379050914267,-0.172436303306823,0.10488678331727552,-1,-0.1999639147464727,-0.12095625686108548,-0.24101730001566632,-0.7741374975562246,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1803570836352719
Apple Inc.,AAPL,3.4976887130401617,-0.07891077364664476,-0.41984095053907305,0.5157009036603609,-0.23057188644660517,10.189850936005957,1.0097074467874154,0.07459916234553433,8.801071063509188,-0.4050398921129161,0.03229358229295101,-0.3187068002272536,0.10342157231104981,1,-0.07469731402201298,-0.20893858749171046,-0.4438789122730249,0.045511555093291106,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.6968122473009482
AbbVie Inc. Common Stock,ABBV,0.3929207432147886,-0.871397286447551,-1.135539096014311,-0.09370507861235272,1.532054526515777,1.107096875799666,-0.12873078796363474,0.15956635602455335,0.7124619942930496,0.329668650214212,0.01447451926581346,-0.30300924443697436,0.028318050509470737,1,0.9167680196925063,-0.32511570265892903,-0.7570546018964472,0.24511521040172243,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40926256154970886
AmerisourceBergen Corporation C,ABC,-0.30627713166071047,-0.6281134236245988,0.12377846820673635,-0.13968758498773384,-0.17107394845631388,-0.25068217503729484,0.442910538421999,-0.045837797467939,-0.3505738299927959,0.40793879807874295,0.030115696811856427,-0.39493835556353324,-0.4514081476270569,-1,0.09933487335917073,-0.25575203950615416,-0.5228592692744966,-1.1138884002088736,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.767741142289631
Abbott Laboratories Common Stoc,ABT,0.6026964097700179,-0.47908427373743945,0.9366334426951545,0.39799284911650484,0.3941564624514545,0.12467653867531207,-0.7803050116828527,0.0140125596792337,0.38261571101583863,0.14738890339389152,0.029323738455094756,0.3952199573049565,0.6981484645846496,1,-0.2267849874076709,-0.1493195361259854,-0.2700898240652876,0.11770862190697909,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9894701733781648
Accenture plc Class A Ordinary,ACN,-0.22650935871481528,-0.5182088715598441,-0.3048077392392383,-0.12137321748045775,0.12641574149514298,0.2992260639819976,0.4453327474321076,-0.07107873348555528,0.3451042794172352,0.42140922043196316,0.03981718668218688,-0.2559645818239052,-0.427187279603819,-1,0.13529949351850465,-0.0903463812187678,-0.07869570740527969,-0.398995875877258,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.11660463547249199
Adobe Systems Incorporated,ADBE,-0.23355931105430058,-0.4296450092164009,-0.7055158566912317,-0.13363045342038504,-1.4279678885012195,-0.2784865242011917,-0.373373897984605,0.40044216775927843,0.24172531707938927,0.2529549449441825,0.03882723873623478,0.46938730805719336,-0.4961051560744691,1,0.09994444319237976,0.2755680037531582,0.5584771113489242,2.5384338033071034,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7312425915453266
"Analog Devices, Inc.",ADI,-0.12352236315381744,-0.36452033775019826,-0.20309113047617278,-0.11191484388731873,0.32722128221237645,-0.3727123741455086,-0.2978009768692162,0.11194258451733737,-0.27313497628584854,0.992091491735613,0.035461415719997696,-0.09072020439549933,-0.02204648755172259,1,-0.14139644517174724,-0.10712564791260708,-0.200792232712565,1.1731306447098229,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5633946633539817
